Minek nevezzük a hajó nyugalmi és megbillent helyzetének megfelelő felhajtó erők hatásvonalainak metszéspontját?,Metacentrum.,Vízkiszorítás tömegközéppont.,Felhajtóerő támadáspont.,
Igaz-e hogy főként a tőkesúly nélküli hajókra jellemző az alakstabilitás?,Igaz.,Hamis.,,
Igaz-e hogy főként a tőkesúlyos hajók jellemzője az alakstabilitás?,Hamis.,Igaz.,,
Tőkesúlyos hajóknál hogyan biztosítjuk a hajó stabilitását?,A hajó súlypontjának alacsonyabbra helyezésével.,A hajó súlypontjának magasabbra helyezésével.,A hajótest oldal irányú ellaposításával.,
Mi biztosítja alakstabil hajóknál a kellő stabilitást?,A hajótest keresztmetszeti kialakítása biztosítja megdőlés esetén a visszabillentő nyomatékot.,A hajó súlypontjának magasabbra helyezése.,Nagy tömegű tőkesúly alkalmazása.,
Mi a dőlés?,A hajó kereszt irányú kilengését hívjuk így.,A hajó hossz irányú kilengését hívjuk így.,A hajó bármely irányú kilengését hívjuk így.,
Mi a metacentrum?,A nyugalmi és a megdőlt helyzetben ható felhajtóerő hatásvonalainak metszéspontja.,A hajó tömegközéppontja.,A hajó mértani középpontja.,
Mi jellemző a stabil úszáshelyzetre?,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,A metacentrum és a rendszersúlypont egybeesik.,
Mi jellemző a labilis úszáshelyzetre?,A metacentrum a rendszersúlypont alatt van.,A metacentrum a rendszersúlypont felett van.,A metacentrum és a rendszersúlypont egybeesik.,
Mi jellemző a semleges úszáshelyzetre?,A metacentrum és a rendszersúlypont egybeesik.,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,
Mi jellemző a közömbös úszáshelyzetre?,A metacentrum és a rendszersúlypont egybeesik.,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,
Melyik úszási helyzetet látja az ábrán?,Stabil,Közömbös,Labilis,Kep1 Stabil.jpg
Melyik úszási helyzetet látja az ábrán?,Közömbös,Stabil,Labilis,Kep2 Kozombos.jpg
Melyik úszási helyzetet látja az ábrán?,Labilis,Közömbös,Stabil,Kep3 Labilis.jpg
A(z) ........................  működéséhez a kormánylapátot áramló közegbe kell helyezni.,passzív kormány,aktív kormány,orrsugár kormány,
Mitől függ a kormányerő mértéke passzív kormány használatakor?,"A kormánylapát kitérítési szögétől, a kormánylapát méreteitől és az áramló közegnek a kormánylapáthoz viszonyított sebességétől.","A hajó alatti vízmélységtől, a kormány kiegyensúlyozottságától, a hajó parthoz képesti sebességétől.","A kormánylapát kitérítési sebességétől, a hajó merülésétől, a kormánylapát kiegyensúlyozottságától.",
Mi az aktív kormány?,Kormányerő a tolóerő irányának változtatásával keletkezik.,Kormányerő a kormánylapát kitérítésével keletkezik.,"Az aktív kormányt folyamatosan (aktívan) fogni, illetve mozgatni kell.",
Mi a passzív kormány?,Kormányerő a kormánylapát kitérítésével keletkezik.,Kormányerő a tolóerő irányának változtatásával keletkezik.,"A kormányzást nem magunk végezzük, hanem egy kijelölt személy.",
Általánosan milyen rendszerű kormányzást alkalmaznak vitorlás hajókon?,Passzív kormány.,Aktív kormány.,,
"Alábbiak közül melyek a fának, mint hajóépítő anyagnak a jellemző tulajdonságai?","Kis fajsúly, jó hang és hőszigetelés, zsugorodik, megdagad a pára hatására.","Kis fajsúly, galvanikus korrózióra hajlamos, nehezen megmunkálható.","Jól ragasztható, felületi kezelést nem igényel, nagy a fajsúlya.",
"Alábbiak közül melyek az alumíniumnak,  mint hajóépítő anyagnak a jellemző tulajdonságai?","Költséges alapanyag, könnyű szerkezeti súly, galvanikus korrózióra hajlamos.","Viszonylag nagy fajsúly, nem hegeszthető, jó hangszigetelő.","Korrózió ellen felületkezeléssel védeni kell, pára hatására dagad, zsugorodik, kis fajsúlyú.",
"Alábbiak közül melyek az acélnak,  mint hajóépítő anyagnak a jellemző tulajdonságai?","Korróziógátlást igényel, rendkívül szilárd, nagy méretű hajók építésére alkalmas.","Nem korrodál, alacsony kopásállóságú, nagy a fajsúlya.","Könnyű, rugalmas, jól alakítható, jó hő- és hangszigetelő.",
A felületkezeletlen alumíniumból készült hajótest ...,csak a galvanikus korrózióra hajlamos.,egyáltalán nem korrodálódik.,csak tengervízben korrodálódik.,
Az alábbiak közül melyek lehetnek a hajók merevítő vázszerkezetének elemei?,"Bordák, hossz bordák, gerinc","Gerinc, medersor, oldalpalánkozás","Bordázat, fartükör, orrtőke, fedélzeti palánkozás",
"Mit jellemezhetnek az alábbi kifejezések: karvell, klinker, diagonál?",A hajótest oldalpalánkozásának módját.,Az orrtőke és fartőke bekötési módjait.,A hajó belső merevítő bordázatának rendszerét.,
Melyik palánkozási módozatot látja az ábrán?,Karvell,Klinker,Diagonál,Kep4 Karvel.jpg
Melyik palánkozási módozatot látja az ábrán?,Klinker,Karvell,Diagonál,Kep5 Klinker.jpg
Melyik palánkozási módozatot látja az ábrán?,Diagonál,Klinker,Karvell,Kep6 Diagonal.jpg
"A katamarán, trimarán kifejezések mit jelölnek?",Egyes hajótípusok kettő illetve három testű kialakítását.,A legénység kötelező létszámát jelölik.,A kormányzásnál használt kormánylapátok számát jelölik ezek a kifejezések.,
Mi a kokpit?,A hajó fedélzetébe süllyesztett munkatér.,"A hajótest és a fedélzet által közrefogott zárt tér, amely mérete szerint dolgok tárolására, vagy akár alvásra is használható.",A hajó fedélzetéről nyíló tároló rekesz.,
Milyen célra szolgál a bimini.,"A kajüt lejáratot és a kokpitot védi az esőtől, naptól.",Gyenge szélben lehetővé teszi a gyors irányváltást.,Erős szélben a vitorlafelületet csökkenti.,
Mit nevezünk deck-nek?,A fedélzetet.,A munkateret.,A lakóteret.,
Mit nevezünk kokpit-nak?,A munkateret.,A lakóteret.,A fedélzetet.,
Mit nevezünk kajüt-nek?,A lakóteret.,A fedélzetet.,A munkateret.,
Hogyan nevezhetjük a hajó fedélzetét más szóval?,Deck.,Kajüt.,Kokpit.,
Hogy hívjuk a hajó munkaterét?,Kokpit.,Deck.,Kajüt.,
Hogy hívjuk a hajó lakóterét?,Kajüt.,Kokpit.,Deck.,
Mit nevezünk denevérnek?,A grósz felület növelésére szolgáló latnival merevített részét.,A orrkilépőt.,A nagyvitorla reffsorát.,
Mi a fux?,A hajóorrban lévő kabin.,A hajó farában lévő kabin.,A hajó közepében kialakított társalgó.,
Mi a trepni?,Padlódeszka.,Fedélzeti ablak.,Árboctalp veret.,
"Igaz e, hogy a hagyományos hajóépítésnél először a merevítő vázszerkezet kerül kialakításra, majd a külhéj csak ez után épül rá erre?",Igaz.,Hamis.,,
"Igaz e, hogy a hagyományos hajóépítésnél először a külhéj készül el, majd ezután következik ennek a merevítése bordák segítségével?",Hamis.,Igaz.,,
Mit nevezünk kompozit alapanyagnak?,Több fajta eltérő jellegű anyag együttes alkalmazása azok hasznos tulajdonságainak ötvözése érdekében.,A teljesen vízzáró és UV sugárzás álló anyagokat nevezzük kompozitoknak.,A több fajta fém alapanyag hegesztett szerkezetét nevezzük kompozitnak.,
"Mi a szerepe a műgyanta-kompozit alapanyag alkalmazásakor az üvegszál, szénszál vagy egyéb szálanyagok alkalmazásának?","Ezek biztosítják a kompozit szerkezet merevségét, szilárdságát, rugalmasságát.","Elsősorban térkitöltő, sűrűségnövelő, szigetelő hatásuk van.","Elsősorban azt biztosítják, hogy a hajótest teljesen vízzáróvá váljon.",
"Mi a szerepe a műgyanta-kompozit hajóépítő alapanyagoknál a poliészter, epoxy anyagok alkalmazásának?","Ezek végzik a szálanyagok közötti tér kitöltését, a szálak összekötését, és a hajótest vízhatlanságának biztosítását is.","A kompozit szilárdságát, rugalmasságát biztosítja.",A kompozit szerkezetben a műgyanta a szerkezet fajsúlyának beállítását szolgálja.,
A szálanyag + gyanta kompozitból készült hajók építési módszere:,"vagy pozitív, vagy negatív mintára építik a hajótestet, a kompozit rétegenkénti laminálásával.","a hajótestet a gerinc és többi hosszmerevítő, majd a bordázat felépítésével kezdik, majd vázra hordják fel a kompozit anyagot.","a hajótestet keresztirányban több részre bontják, az egyes darabokat külön-külön laminálják, és a folyamat végén összeragasztják.",
"Minek nevezzük a legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolságot, amely felett a hajót nem lehet vízmentesnek tekinteni?",Biztonsági távolság.,Szabad oldal magasság.,Merülés.,
"A legnagyobb hossz (LOA) – az úszólétesítmény legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket?",Igaz.,Hamis.,,
A legnagyobb hossz (LOA) – a hajótest legnagyobb hossza a kormány és a kígyófej nélkül ?,Hamis.,Igaz.,,
Az alábbiak közül melyik a hajó hosszának (L) meghatározása?,A hajótest legnagyobb hossza a kormány és a kígyófej nélkül.,"Az úszólétesítmény legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket.",A hajótest vízvonalon mért hossza.,
Mit értünk a kishajó hosszán?,A hajótest legnagyobb hossza a kormányberendezés és propulziós mű nélkül.,"Az kishajó legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket.",A hajótest legnagyobb merülés síkjában mért hossza.,
Mit értünk a kishajó vízvonalhosszán?,A hajótest legnagyobb merülés síkjában mért hossza.,A hajótest legnagyobb hossza a kormányberendezés és propulziós mű nélkül.,"Az kishajó legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket.",
Mit értünk a kishajó oldalmagasságán?,A hajótest vagy a gerinc legalsó pontja és a fedélzet legalsó pontja között a hajó oldalán mért legrövidebb függőleges távolság.,Az oldalmagasságnak az oldalmagasság helyén mért merüléssel csökkentett értéke.,"A legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolság, amely felett a hajót nem lehet vízmentesnek tekinteni.",
Mit értünk a kishajó szabad oldalmagasságán?,Az oldalmagasságnak az oldalmagasság helyén mért merüléssel csökkentett értéke.,"A legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolság, amely felett a hajót nem lehet vízmentesnek tekinteni.",A hajótest vagy a gerinc legalsó pontja és a fedélzet legalsó pontja között a hajó oldalán mért legrövidebb függőleges távolság.,
Mit értünk a kishajó biztonsági távolságán?,"A legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolság, amely felett a hajót nem lehet vízmentesnek tekinteni.",A hajótest vagy a gerinc legalsó pontja és a fedélzet legalsó pontja között a hajó oldalán mért legrövidebb függőleges távolság.,Az oldalmagasságnak az oldalmagasság helyén mért merüléssel csökkentett értéke.,
"Hogyan hívjuk a hajótest belsejébe, általában a fedélzet alá stabilan rögzített meghajtó motort?",Beépített motor.,Lakótéri motor.,Külmotor.,
"Minek nevezzük a hajó far részén kialakított rögzítési ponton, a fartükrön felfüggesztett kisebb tömegű motorokat, melyek magukba foglalják a hajtási lánc elemeit is?",Külmotor.,Beépített motor.,Kompresszor.,
Milyen belső égésű motorok üzemanyaga a gázolaj?,Diesel motor,Ottó motor,Gőzgép,
Milyen belső égésű motorok üzemanyaga a benzin?,Ottó motor,Diesel motor,Gőzgép,
"Hogyan győződik meg róla, hogy a külmotor hűtése megfelelő?","Ha a motorhűtést ellenőrző vízsugár  megszakítatlan és erős, akkor a hűtés megfelelő.","A motor hűtését nem kell ellenőrizni, mert a motorolaj túlmelegedése esetén az automatika leállítja a motort.","A motor hűtésének elégtelenségét a motor teljesítményének csökkenése, és a motor spontán leállása jelzi, ennek hiányában a hűtés biztosan megfelelő.",
A dízel üzemű motoroknak van gyújtásrendszere?,Nincs.,Van.,,
A kishajókba építésre szánt modern dízelmotorok miben különböznek régi társaiktól?,"A modern dízelmotor befecskendező rendszere bonyolult, elektronikusan vezérelt rendszer, a régi tisztán mechanikus.",A modern dízelmotorok már mind kétüteműek és a régiekkel szemben tisztán elektronikus befecskendezéssel működnek.,"A modern dízelmotorok fajlagos teljesítménye jobb a régiekénél, de nagyobb a fajlagos fogyasztásuk.",
Mi hozza létre a benzin-levegő keveréket az ottó-motoroknál?,Karburátor vagy befecskendező rendszer.,Karburátor.,Befecskendező rendszer.,
Beépített Otto motorral rendelkező kishajónál milyen műveletet kell végrehajtani minden motorindítás előtt?,A motortér teljes kiszellőztetését.,Az ékszíj feszességének ellenőrzését.,A hűtőrendszer elzáró szelepeinek zárását.,
Milyen rendszerű a négyütemű motorok kenési rendszere?,A legtöbb esetben vegyes rendszerű: szóró- és kényszerolajozású.,Kizárólag keverék olajozású.,A legtöbb esetben kizárólag kényszerolajozású.,
Mi végzi a Diesel motor működése közben az üzemanyag begyújtását?,A hengerben a kompresszió miatt felhevült levegő.,Elektromosan működtetett  gyújtógyertya szikrája.,Izzító gyertya.,
Mi végzi a Ottó motor működése közben az üzemanyag begyújtását?,Elektromosan működtetett  gyújtógyertya szikrája.,A hengerben a kompresszió miatt felhevült levegő.,Izzító gyertya.,
"Igaz, hogy az üzemanyag a karburátoros Ottó motor működése folyamán, a szívás fázisban  levegővel összekeveredve áramlik be a hengerbe?",Igaz.,Hamis.,,
"Igaz, hogy az üzemanyag a Diesel motor működése folyamán, a szívás fázisban  levegővel összekeveredve áramlik be a hengerbe?",Hamis.,Igaz.,,
"Igaz, hogy az üzemanyagot a Diesel motor működése folyamán, a hengerben összesűrített levegőbe porlasztják be?",Igaz.,Hamis.,,
"Igaz, hogy az üzemanyagot a karburátoros Ottó motor működése folyamán, a hengerben összesűrített levegőbe porlasztják be?",Hamis.,Igaz.,,
Kétütemű motorok esetében hány főtengely fordulat alatt játszódik le a munkaciklus?,Egy,Kettő,Négy,
Négyütemű motorok esetében hány főtengely fordulat alatt játszódik le a munkaciklus?,Kettő,Egy,Négy,
Négyütemű motoroknál melyik a helyes működési sorrend az alábbiak közül?,"Szívás, sűrítés, égés, kipufogás","Szívás, égés, sűrítés, kipufogás","Kipufogás, égés, sűrítés, szívás",
