1,Kérdés,Helyes / Rossz válasz,,Helyes / Rossz válasz,,Helyes / Rossz válasz,,,
42,Folytassa a meghatározást! Gépi erővel haladó kishajó az a saját,"gépi berendezéssel rendelkező kishajó, amely önálló mozgásra alkalmas.",N,gépi berendezéssel is működtethető kishajó.,N,gépi berendezéssel hajtott kishajó.,I,,
43,Mit értünk vitorlás kishajón? Vitorlás kishajó,a vitorlával/vitorlákkal felszerelt kishajó.,N,a vitorlát/vitorlákat is használó kishajó.,N,a csak vitorlával/vitorlákkal haladó kishajó.,I,,
44,Mit értünk egy menetben lévő kishajó vonatkozásában a megáll kifejezés alatt?,A parthoz viszonyított megállást.,I,A vízhez viszonyított megállást.,N,Más hajóhoz viszonyított megállást.,N,,
45,Mikor tekintjük a kishajót menetben lévőnek?,Ha az nincs  közvetlenül vagy egyéb módon a parthoz kikötve.,N,Ha az más úszó létesítményekhez képest haladnak és nincsenek zátonyon fennakadva.,N,"Ha az nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva.",I,,
46,"Folytassa a meghatározást! Menetben lévő az a kishajó, amely","nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva.",I,más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.,N,nincs  közvetlenül vagy egyéb módon a parthoz kikötve és nincs zátonyon fennakadva.,N,,
47,Mi a kötelezettsége a kishajó vezetőjének a kishajón tartandó okmányokkal kapcsolatban?,Az illetékes hatóságok képviselőinak felszólítására be kell mutatni azokat.,I,"Azokat a Szabályzat előírása szerint rendszerezve, áttekinthetően és ellenőrzésre előkészítve kell a kishajón tartani.",N,Az eredeti okmányok másolatait kell csak a hajón tartani.,N,,
48,Mit értünk biztonságos sebesség fogalma alatt?,"Olyan sebesség, amelynél a hajó vagy a kötelék biztonságosan közlekedhet, műveletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megállhat.",I,"Olyan sebesség, amelynél a hajó vagy a kötelék nem kelt olyan hullámokat, illetve nem okoz olyan szívóhatást, amely a víziközlekedésben résztvevők számára veszélyt jelent.",N,"Olyan sebesség, amelynél a hajó vagy a kötelék nyugodtan közlekedhet, műveletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megfelelő manőverekkel elkerülheti az összeütközést.",N,,
49,Folytassa a meghatározást a Szabályzat alapján! Kimerült állapot,"a betegség miatt gyógyszer hatására fellépő, a magatartási normától való eltérésben megnyilvánuló állapot.",N,a kialvatlan állapot miatt fellépő vagy kialakuló és a reakcióidő növekedésében megnyilvánuló állapot.,N,"a nem kielégítő pihenés vagy betegség miatt fellépő, a magatartási normától való eltérésben és a reakcióidő növekedésében megnyilvánuló állapot.",I,,
50,Mit értünk bódult állapot fogalmán a víziközlekedésben?,"Betegség miatt gyógyszer vagy más hasonlóan ható szer hatására fellépő, a magatartási normától való eltérésben megnyilvánuló állapot.",N,"Alkohol, kábítószer, illetve gyógyszer vagy más hasonló anyag fogyasztásának következtében fellépő állapot.",I,"Kialvatlanság és a nem kielégítő pihenés fellépő olyan kábult állapot, amely a magatartási normától való eltérésben nyilvánul meg.",N,,
51,Az alábbiak közül milyen feltételt támaszt a Szabályzat a menetben lévő kishajó vezetőjével szemben?,Állandóan a kishajó vezetésére képes állapotban kell lennie.,N,Nem lehet kimerült vagy bódult állapotban.,I,"A kishajón való tartózkodása alatt nem fogyaszthat gyógyszert, alkoholt és más hasonlóan ható szert.",N,,
52,A vezetőn kívül a kishajón tartózkodók közül ki tartozik felelősséggel a Szabályzat előírásainak megtartásáért?,"Csak a kishajó személyzetének tagja(i) függetlenül attól, hogy szolgálatban van(nak)-e vagy pihenőidejét/pihenőidejüket tölti(k).",N,Aki ideiglenesen maga határozza meg a kishajó útvonalát és sebességét.,I,A kishajó személyzetének tagjait és a kishajón tartózkodó más személyeket is közös felelősség terheli a Szabályzat előírásainak megtartásáért.,N,,
53,"Folytassa a meghatározást? Kishajó vezetése olyan személynek engedhető át,","akinek a szervezetében nincs kábítószer, gyógyszer, vagy ezek kombinációja.",N,akinek a vezetésben már legalább egy éves gyakorlattal rendelkezik.,N,aki nincs kimerült vagy bódult állapotban és nem mutatja látható jeleit a fáradságának.,I,,
54,Folytassa az előírást! A kishajó vezetője,"szakmai felkészültsége, gyakorlata alapján köteles minden a körülmények által megkövetelt intézkedést megtenni, ha a Szabályzatban foglaltaktól eltér.",N,"a közvetlenül fenyegető veszély elhárítása érdekében köteles minden a körülmények által megkövetelt intézkedést megtenni még akkor is, ha emiatt az e Szabályzatban foglaltaktól el kell térnie.",I,"köteles a Szabályzat rendelkezéseitől eltérni, ha megítélése szerint a körülmények azt indokolják.",N,,
55,Eltérhet-e a kishajóvezető a Szabályzat előírásaitól?,"Igen, erre a Szabályzat a közvetlen veszély esetén feljogosítja, amelynek alapján minden a körülmények által megkövetelt intézkedésre kötelezi a kishajóvezetőt.",I,"Igen, mivel a veszélyek elhárítása saját felelőssége, ezért köteles bármely veszély elhárítása érdekében a Szabályzat előírásait figyelmen kívül hagyni.",N,"Nem, mivel a Szabályzat minden szokásos és rendkívüli helyzet megoldására tartalmaz előírásokat.",N,,
56,Mikor térhet el kishajóvezető a Szabályzat rendelkezéseitől?,"Csak abban az esetben, ha ezzel idéz elő kárt más hajóban vagy műtárgyakban.",N,Csak akkor ha azt közvetlenül fenyegető veszély elhárítása érdekében teszi és a körülmények által megkövetelt mértéket nem lépi túl.,I,"Nem térhet el a Szabályzat előírásaitól, mert az szabálysértés vagy bűncselekmény lenne.",N,,
57,"Milyen előírás vonatkozik a kishajó horgonyára, ha azt nem használják? ","Ha a horgonyt nem használják, az nem lóghat a vízfelszín alá.",N,"Ha horgonyt nem használják, azt teljesen fel kell húzni.",I,Használaton kívüli horgonyt a kishajó gerincvonala fölé kell emelni.,N,,
58,"Milyen kötelezettség terheli a kishajó vezetőjét, ha olyan tárgyat veszített el, amely a hajózás számára akadályt vagy veszélyt jelenthet?","Haladéktalanul értesítenie kell a legközelebbi illetékes hatóságot, a lehető legpontosabban megjelölve a tárgy elvesztésének helyét, köteles továbbá lehetőség szerint ezt a helyet megjelölni.",I,"Haladéktalanul értesítenie kell a legközelebbi vízirendészeti szervez, annak és a kiemelést végző búvárok helyszínre érkezéséig a hajó a helyszínről nem távozhat el.",N,"Köteles az elvesztett tárgyat megkeresni és kiemelni. Amennyiben a kiemelés eredménytelen, a tárgyat nappali és éjszakai jelzésekkel meg kell jelölnie.",N,,
59,"Milyen kötelezettség terheli a kishajó vezetőjét is, ha víziutat elzáró ismeretlen akadályt észlel?","Haladéktalanul be kell jelentenie a legközelebbi illetékes hatóságnál, a lehető legpontosabban megjelölve az észlelt akadály helyét és amennyiben az veszélyezteti a hajózást, lehetőség szerint a helyet köteles megjelölni.",I,"Gondoskodnia kell az észlelt akadály eltávolításáról, ha ezt nem tudja megtenni, gondoskodnia kell annak megjelöléséről.",N,A térségben közlekedő – rádióforgalmazásra kötelezett hajót – figyelmeztetnie kell az illetékes hatóság felé történő bejelentési kötelezettségére.,N,,
60,"Terheli-e kötelezettség a kishajó vezetőjét, ha műtárgyat (pl. zsilip, híd) rongál meg?",Köteles tájékoztatni a térségben közlekedő hajókat az eseményről.,N,Köteles haladéktalanul értesíteni a legközelebbi illetékes hatóságot.,I,Köteles haladéktalanul értesíteni a műtárgy üzemeltetőjét és a károkozással kapcsolatban felelősségvállalásáról nyilatkozni.,N,,
61,Milyen kötelezettség hárul a kishajó vezetőjére a hajón tartózkodó személyek biztonságát fenyegető balesetnél?,A vezető a lehető legrövidebb időn belül köteles értesíteni a legközelebbi illetékes hatóságot intézkedésüket kérve a veszélyeztetett személyek kimentése érdekében.,N,A vezető köteles minden mentőeszközt a veszélyeztetett személyek számára átadni.,N,A vezetőnek minden rendelkezésre álló eszközt fel kell használnia e személyek mentése érdekében.,I,,
62,"Köteles-e segítséget nyújtani a kishajó vezetője, ha egy nem kishajó emberéletet veszélyeztető balesetet szenvedett?","A gazdasági célú tevékenységet végző kishajó vezetőjét igen, a kedvtelési célú hajó vezetőjét nem, mivel e kérdésben kevésbé jártas.",N,"Nem, mert a kishajókra a nagyhajóktól eltérő szabályok vonatkoznak.",N,"Igen, saját kishajójának biztonságával összeegyeztethető mértékben, hiszen ilyen esetben a Szabályzat nem tesz különbséget a hajók között.",I,,
63,Milyen kötelezettség hárul az elsüllyedt kishajó vezetőjére?,A helyszín elhagyását követően haladéktalanul intézkednie kell a kishajó kiemeléséről és a hatóságoknak jelentenie kell a megtett intézkedéseket.,N,"A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot és az elsüllyedt kishajó közelében kell maradnia, amíg a kiemelés el nem kezdődik.",N,"A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot a történtekről és a vezetőnek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi.",I,,
64,Milyen kötelezettség hárul a fennakadt kishajó vezetőjére?,A helyszín elhagyását követően haladéktalanul intézkednie kell a kishajó leszabadításáról és a hatóságoknak jelentenie kell a megtett intézkedéseket.,N,"A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot és a fennakadt kishajó közelében kell maradnia, amíg a leszabadítás meg nem történik.",N,"A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot a történtekről és a vezetőnek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi.",I,,
65,Milyen kötelezettség hárul a hajóútban vagy annak közelében fennakadt kishajó vezetőjére az alábbiak közül?,Csak bejelentési kötelezettsége van az illetékes hatóságok felé.,N,"A legközelebbi illetékes hatóság felé bejelentési, az előírt jelzések kihelyezésére, valamint más hajók számára vonatkozó tájékoztatási kötelezettsége van.",I,Csak más hajók tájékoztatására vonatkozó kötelezettsége van.,N,,
66,Milyen előírás vonatkozik a kishajó sebességének megválasztására?,"A kishajó csak olyan sebességgel haladhat, amelyet a víziútra vonatkozóan az illetékes hatóság meghatároz.",N,A kishajónak mindenkor biztonságos sebességgel kell haladnia.,I,A kishajónak mindig a manőverképességének fenntartásához szükséges maximális sebességgel kell haladnia.,N,,
67,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt.",I,"meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt.",N,"meg kell tennie valamennyi elővigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és a kishajón tartózkodó minden más személy testi épségét.",N,,
68,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és a kishajón tartózkodó minden más személy testi épségét.",N,"meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje az emberéletet fenyegető veszélyt.",I,"meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje azt, hogy más hajót hirtelen sebesség- vagy irányváltoztatásra kényszerítésen.",N,,
69,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy épségben megőrizze a kishajóra rendszeresített okmányokat, Bizonyítványokat.",N,"meg kell tennie valamennyi elővigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott jelzések mindenkori észlelhetőségét.",N,"meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a hajózás akadályozását.",I,,
